,Date,Total Prism,Normal,Boost
210,2022-10-02,75150684.93150684,60120547.94520548,15030136.98630137
211,2022-10-03,75506849.3150685,60405479.4520548,15101369.8630137
212,2022-10-04,75863013.69863014,60690410.95890411,15172602.739726027
213,2022-10-05,76219178.08219178,60975342.46575343,15243835.616438357
214,2022-10-06,76575342.46575342,61260273.97260274,15315068.493150685
215,2022-10-07,76931506.84931506,61545205.47945206,15386301.369863015
216,2022-10-08,77287671.23287672,61830136.98630137,15457534.246575342
217,2022-10-09,77643835.61643836,62115068.49315069,15528767.123287672
218,2022-10-10,78000000.0,62400000.0,15600000.0
219,2022-10-11,78356164.38356164,62684931.50684932,15671232.87671233
220,2022-10-12,78712328.76712328,62969863.01369863,15742465.753424658
221,2022-10-13,79068493.15068492,63254794.52054795,15813698.630136987
222,2022-10-14,79424657.53424658,63539726.02739726,15884931.506849315
223,2022-10-15,79780821.91780822,63824657.53424658,15956164.383561645
224,2022-10-16,80136986.30136986,64109589.04109589,16027397.260273973
225,2022-10-17,80493150.6849315,64394520.54794521,16098630.136986302
226,2022-10-18,80849315.06849314,64679452.05479452,16169863.01369863
227,2022-10-19,81205479.4520548,64964383.56164384,16241095.89041096
228,2022-10-20,81561643.83561644,65249315.06849315,16312328.767123288
229,2022-10-21,81917808.21917808,65534246.57534247,16383561.643835617
230,2022-10-22,82273972.60273972,65819178.08219178,16454794.520547945
231,2022-10-23,82630136.98630136,66104109.5890411,16526027.397260275
232,2022-10-24,82986301.36986302,66389041.09589041,16597260.273972603
233,2022-10-25,83342465.75342466,66673972.60273973,16668493.150684932
234,2022-10-26,83698630.1369863,66958904.10958904,16739726.02739726
235,2022-10-27,84054794.52054794,67243835.61643836,16810958.90410959
236,2022-10-28,84410958.90410958,67528767.12328768,16882191.78082192
237,2022-10-29,84767123.28767124,67813698.63013698,16953424.657534245
238,2022-10-30,85123287.67123288,68098630.1369863,17024657.534246575
239,2022-10-31,85479452.05479452,68383561.64383562,17095890.410958905
